timestamp	acao	lift	sufixo	hash_v2_antes	hash_boot_antes
2026-07-29T18:22:45Z	REVERT	(n/a)	20260729_142148	06396e764a868f20e5fc45828407515a	87374b602a667a0a7aa8d4afad03fff9
2026-07-29T18:24:49Z	PROMOTE	recomp_macos_v3	20260729_142148	7bf905232c20e9ab705c1321482f4f6c	346aa5ae178225838f07e58638fed878
2026-07-29T18:45:09Z	PROMOTE-BEGIN	recomp_macos_v3	20260729_144508	7bf905232c20e9ab705c1321482f4f6c	346aa5ae178225838f07e58638fed878
2026-07-29T18:48:07Z	PROMOTE-OK	recomp_macos_v3	20260729_144508	7bf905232c20e9ab705c1321482f4f6c	346aa5ae178225838f07e58638fed878
2026-07-29T18:48:26Z	REVERT	(n/a)	20260729_144508	5f2a2653a43fee53cbd9a5a6f629260c	dd067f140ba944557c016d8f3f9c0fc7
2026-07-29T19:06:49Z	PROMOTE-BEGIN	recomp_macos_v3	20260729_150649	7bf905232c20e9ab705c1321482f4f6c	346aa5ae178225838f07e58638fed878
2026-07-29T19:09:47Z	PROMOTE-OK	recomp_macos_v3	20260729_150649	7bf905232c20e9ab705c1321482f4f6c	346aa5ae178225838f07e58638fed878
